Measured Data,,,,,,,,,,,,Obtained from measured data,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
MD,DTC,DTS,GR,DEN,NEU,RES-SHT,RES-MED,RES-DEP,Hole Size,Caliper,,Poisson,Vp (Measured),Vs (Measured),
(ft),(micro-sec/ft),(micro-sec/ft),(GRAPI),(g/cc),(PU),(Ohms-m),(Ohms-m),(Ohms-m),(Inches),(Inches),,Unitless,(km/s),(km/s),
9103.674541,74.4058,138.6146,9.0914,2.4355,18.42,1.5367,1.5665,1.4199,8.5,8.625,,0.297619886,4.096454846,2.198902569,2.624908113
9104.002625,74.342,138.2608,9.5902,2.4611,17.39,1.4883,1.4912,1.404,8.5,8.6249,,0.296651538,4.099970407,2.204529411,2.613461411
9104.330709,74.4805,138.7904,10.0645,2.4873,16.07,1.4123,1.4499,1.3675,8.5,8.5781,,0.297769929,4.092346319,2.196117311,2.594826319
9104.658793,74.618,139.3161,10.1254,2.5047,15.22,1.3597,1.4029,1.3222,8.5,8.5781,,0.298865916,4.084805275,2.187830409,2.581032662
9104.986877,74.7559,139.8413,10.2825,2.5058,15.24,1.3407,1.4035,1.3059,8.5,8.5782,,0.299943197,4.077270155,2.179613605,2.575705977
9105.314961,75.1006,140.1226,10.7978,2.4892,15.71,1.3317,1.4115,1.2986,8.5,8.625,,0.298484986,4.058556123,2.17523797,2.572418711
9105.643045,75.454,140.3937,11.2044,2.4641,16.76,1.3222,1.4177,1.2902,8.5,8.625,,0.296915473,4.039547274,2.171037589,2.573377685
9105.971129,75.8072,140.6654,10.8023,2.4444,17.95,1.2952,1.4132,1.2691,8.5,8.6249,,0.295344655,4.020726263,2.166844156,2.571688538
9106.299213,76.0617,141.1736,10.987,2.4363,18.51,1.2702,1.3832,1.2563,8.5,8.5781,,0.295491533,4.007273043,2.159043901,2.567340975
9106.627297,76.3067,141.7047,10.8422,2.4348,18.54,1.252,1.3099,1.2442,8.5,8.5782,,0.295801909,3.994406782,2.150951944,2.55988611
9106.955381,76.5516,142.2351,10.201,2.4308,18.72,1.2299,1.2038,1.2307,8.5,8.625,,0.296107456,3.981628078,2.142930964,2.55379526
9107.283465,76.7613,142.4761,9.9359,2.4238,18.85,1.1998,1.1202,1.2131,8.5,8.625,,0.295507769,3.970750886,2.139306171,2.550493675
9107.611549,76.9655,142.6714,10.3162,2.4184,18.97,1.1688,1.0848,1.2035,8.5,8.625,,0.294764483,3.960215941,2.136377718,2.546565203
9107.939633,77.1695,142.8668,12.6009,2.4184,19.08,1.155,1.0853,1.1947,8.5,8.625,,0.294022624,3.949746986,2.133455778,2.539833278
9108.267717,77.2813,143.1392,15.4903,2.4223,19.25,1.1461,1.0936,1.1843,8.5,8.625,,0.294288306,3.944033033,2.129395721,2.534116514
9108.595801,77.3723,143.429,17.7993,2.4247,19.47,1.1411,1.1083,1.1722,8.5,8.625,,0.29477866,3.939394331,2.125093252,2.529883074
9108.923885,77.4632,143.7182,18.5003,2.4214,19.71,1.1511,1.1259,1.1628,8.5,8.625,,0.295264284,3.934771608,2.120816988,2.52863567
9109.251969,77.5237,143.8159,18.8432,2.4124,19.91,1.1595,1.141,1.1577,8.5,8.625,,0.295205902,3.931700886,2.11937623,2.531371059
9109.580052,77.575,143.8556,18.3043,2.4015,20.07,1.1666,1.1548,1.1562,8.5,8.625,,0.294983174,3.92910087,2.118791344,2.535431507
9109.908136,77.6262,143.895,15.1594,2.3931,20.3,1.1739,1.1831,1.1504,8.5,8.625,,0.294759882,3.926509349,2.118211196,2.538202178
9110.23622,77.6143,143.8013,12.8461,2.3893,20.62,1.1793,1.211,1.1469,8.5,8.625,,0.29447125,3.92711137,2.119591408,2.540609257
9110.564304,77.5777,143.6559,10.7117,2.3908,20.86,1.1828,1.2384,1.1451,8.5,8.625,,0.294157753,3.928964122,2.121736733,2.541010382
9110.892388,77.5411,143.5094,8.8472,2.3961,20.95,1.1803,1.2595,1.1391,8.5,8.625,,0.293838709,3.930818624,2.123902685,2.53939661
